"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"2527","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2528","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2529","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2530","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2531","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2532","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2533","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2534","black","TRUE","FALSE","citation","FALSE",NA
"2535","black","TRUE","FALSE","citation","FALSE",NA
"2536","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2537","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2538","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2539","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2540","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2541","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2542","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2543","hispanic","FALSE",NA,"citation","FALSE","sat in police vehicle"
"2544","black","TRUE","FALSE",NA,"FALSE","sat in police vehicle"
"2545","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2546","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2547","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2548","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2549","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2550","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2551","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2552","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2553","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2554","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"2555","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2556","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2557","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2558","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2559","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2560","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2561","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2562","asian/pacific islander","TRUE","TRUE","arrest","TRUE","sat in police vehicle"
"2563","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2564","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2565","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2566","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2567","hispanic","TRUE","FALSE",NA,"FALSE",NA
"2568","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2569","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2570","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2571","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
